b,g,r
97.10175323486328,115.1919937133789,146.8417510986328
97.1380615234375,115.25856018066406,146.86326599121094
97.1424331665039,115.22463989257812,146.84474182128906
97.12874603271484,115.22068786621094,146.85169982910156
97.12986755371094,115.22417449951172,146.84951782226562
97.14790344238281,115.25341796875,146.85714721679688
97.22881317138672,115.32352447509766,146.92813110351562
97.18875122070312,115.2800064086914,146.88816833496094
97.18489074707031,115.26997375488281,146.87490844726562
97.21650695800781,115.3104019165039,146.9234161376953
97.18614196777344,115.28488159179688,146.89529418945312
97.14263153076172,115.23798370361328,146.84149169921875
97.19098663330078,115.29611206054688,146.90614318847656
97.1648941040039,115.29230499267578,146.9127197265625
97.0836181640625,115.22356414794922,146.84805297851562
97.00821685791016,115.16191101074219,146.79708862304688
96.97694396972656,115.12080383300781,146.75662231445312
96.90461730957031,115.05598449707031,146.69384765625
96.80683135986328,114.92696380615234,146.57643127441406
96.81381225585938,114.96361541748047,146.60218811035156
96.79866790771484,114.94831848144531,146.5888214111328
96.7855224609375,114.93295288085938,146.60032653808594
96.69680786132812,114.86209106445312,146.55084228515625
96.72917938232422,114.8785171508789,146.592529296875
96.58985137939453,114.80155944824219,146.53504943847656
96.56181335449219,114.80864715576172,146.50938415527344
96.51402282714844,114.79478454589844,146.50173950195312
96.7372817993164,114.9671630859375,146.6544952392578
96.6890869140625,114.94093322753906,146.60984802246094
96.59178924560547,114.83409118652344,146.47665405273438
96.42076110839844,114.68042755126953,146.30397033691406
96.15267944335938,114.39031219482422,146.042236328125
96.16222381591797,114.4024887084961,146.01402282714844
94.82357025146484,112.97708129882812,144.6044464111328
94.72225952148438,112.91853332519531,144.5259552001953
94.59965515136719,112.79706573486328,144.41416931152344
94.56098937988281,112.814208984375,144.33743286132812
94.5416259765625,112.75992584228516,144.27090454101562
94.51970672607422,112.74150848388672,144.267822265625
94.56401062011719,112.76165771484375,144.3230743408203
94.58880615234375,112.81106567382812,144.373779296875
94.70418548583984,112.9144515991211,144.47265625
94.73248291015625,112.96634674072266,144.5331268310547
94.69424438476562,112.93009185791016,144.49325561523438
94.6906509399414,112.9591064453125,144.49034118652344
94.7716293334961,113.01895141601562,144.57672119140625
94.68901062011719,112.93539428710938,144.50869750976562
94.75184631347656,112.98435974121094,144.57138061523438
94.78142547607422,113.00379943847656,144.587158203125
95.63703918457031,113.90296936035156,145.4820098876953
95.52809143066406,113.77403259277344,145.35385131835938
95.52999114990234,113.79707336425781,145.37905883789062
95.57535552978516,113.8516845703125,145.44940185546875
95.63270568847656,113.89881896972656,145.4935302734375
95.66158294677734,113.93163299560547,145.53309631347656
