y,u,v
121.58683013916016,115.22036743164062,149.3030548095703
121.55792999267578,115.2143783569336,149.34185791015625
121.575927734375,115.22221374511719,149.31634521484375
121.60802459716797,115.2269515991211,149.3166046142578
121.61422729492188,115.23217010498047,149.3193359375
123.01610565185547,115.23009490966797,149.333740234375
123.33218383789062,115.23941802978516,149.3498077392578
123.41374206542969,115.25338745117188,149.35646057128906
123.56932830810547,115.24982452392578,149.33424377441406
123.80284118652344,115.26565551757812,149.31658935546875
123.97343444824219,115.23457336425781,149.3136749267578
124.00850677490234,115.23214721679688,149.31515502929688
124.08555603027344,115.22542572021484,149.29493713378906
124.09156799316406,115.22694396972656,149.3165740966797
124.1266098022461,115.22618103027344,149.3228759765625
123.34934997558594,115.20819091796875,149.32244873046875
123.11042022705078,115.19744110107422,149.31861877441406
122.96851348876953,115.20983123779297,149.3373260498047
122.92562866210938,115.21475982666016,149.318115234375
122.90065002441406,115.2210464477539,149.31468200683594
122.83551788330078,115.20823669433594,149.2959747314453
122.80316162109375,115.21489715576172,149.29295349121094
122.7386245727539,115.21403503417969,149.28555297851562
122.80396270751953,115.21330261230469,149.28756713867188
122.76099395751953,115.21383666992188,149.29330444335938
122.73728942871094,115.21791076660156,149.31031799316406
122.64568328857422,115.2152099609375,149.30715942382812
122.65087890625,115.2160873413086,149.3048553466797
122.6662826538086,115.21267700195312,149.30245971679688
122.23841094970703,115.5172119140625,149.2150421142578
122.23300170898438,115.44952392578125,149.1125946044922
122.29851531982422,115.4581298828125,149.1414031982422
122.2198486328125,115.46566009521484,149.11854553222656
122.24698638916016,115.46647644042969,149.119384765625
122.38697052001953,115.39429473876953,149.1290283203125
122.30044555664062,115.35051727294922,149.12924194335938
122.26022338867188,115.35226440429688,149.11129760742188
122.18529510498047,115.32324981689453,149.12669372558594
122.16600036621094,115.3016128540039,149.12332153320312
122.12102508544922,115.29269409179688,149.08995056152344
122.17173767089844,115.28754425048828,149.09548950195312
122.09255981445312,115.2596435546875,149.10519409179688
122.10882568359375,115.27030181884766,149.10867309570312
122.039306640625,115.2785415649414,149.1085968017578
121.88648223876953,115.27571868896484,149.16165161132812
121.86853790283203,115.23577117919922,149.156982421875
121.9326171875,115.24231719970703,149.1775360107422
121.86475372314453,115.24261474609375,149.1831512451172
121.78948974609375,115.24951934814453,149.1885528564453
121.70435333251953,115.24636840820312,149.1647186279297
121.76561737060547,115.29600524902344,149.23536682128906
121.93858337402344,115.3147201538086,149.236083984375
121.84909057617188,115.3101806640625,149.23487854003906
121.97534942626953,115.34073638916016,149.22467041015625
121.93401336669922,115.32147216796875,149.24423217773438
121.94490814208984,115.3221206665039,149.24374389648438
121.98114776611328,115.31769561767578,149.21400451660156
122.07135009765625,115.32445526123047,149.19583129882812
122.24354553222656,115.32807922363281,149.1936798095703
122.2249755859375,115.31117248535156,149.19000244140625
122.32904052734375,115.31414031982422,149.1992950439453
122.44660949707031,115.32386779785156,149.1989288330078
122.5303955078125,115.33279418945312,149.19442749023438
122.62651062011719,115.34329223632812,149.18551635742188
122.68302154541016,115.35466766357422,149.1956787109375
122.76457214355469,115.35282135009766,149.1982879638672
122.93450164794922,115.35325622558594,149.2236328125
122.69447326660156,115.32957458496094,149.2146759033203
122.69368743896484,115.33540344238281,149.22276306152344
122.76750183105469,115.32758331298828,149.223876953125
122.66571044921875,115.32080841064453,149.1548614501953
122.67601013183594,115.31913757324219,149.153564453125
122.65362548828125,115.3297348022461,149.16607666015625
122.65990447998047,115.33798217773438,149.16468811035156
122.69998168945312,115.32833099365234,149.15696716308594
122.81298828125,115.33336639404297,149.14947509765625
122.80633544921875,115.34323120117188,149.15228271484375
122.76421356201172,115.34788513183594,149.1547393798828
122.68257141113281,115.35118865966797,149.15423583984375
122.70645141601562,115.35301971435547,149.15818786621094
122.66793823242188,115.3448257446289,149.1682586669922
122.70087432861328,115.34481811523438,149.16989135742188
122.65013885498047,115.33776092529297,149.13880920410156
122.59456634521484,115.33448028564453,149.1441192626953
122.62088775634766,115.33000183105469,149.14344787597656
122.65061950683594,115.3302993774414,149.1457977294922
122.67337799072266,115.33050537109375,149.14614868164062
122.72274017333984,115.33251953125,149.14169311523438
122.715087890625,115.3293228149414,149.14064025878906
122.70185852050781,115.33092498779297,149.1330108642578
122.66185760498047,115.33099365234375,149.13278198242188
122.66480255126953,115.33036804199219,149.13143920898438
122.69559478759766,115.32604217529297,149.12901306152344
122.80370330810547,115.33570098876953,149.12742614746094
122.73706817626953,115.32438659667969,149.12313842773438
122.72093200683594,115.3281021118164,149.12393188476562
122.6986312866211,115.34243774414062,149.12318420410156
122.7365493774414,115.35381317138672,149.1154327392578
122.6523666381836,115.3616943359375,149.125244140625
122.6113052368164,115.35579681396484,149.132568359375
122.51593017578125,115.35466766357422,149.13087463378906
122.58427429199219,115.34970092773438,149.1571807861328
122.72867584228516,115.36006927490234,149.1631622314453
122.77571868896484,115.36022186279297,149.16732788085938
122.71033477783203,115.36275482177734,149.171875
122.63243103027344,115.36703491210938,149.16441345214844
122.58625030517578,115.364990234375,149.1551513671875
122.50017547607422,115.37762451171875,149.1556396484375
122.63589477539062,115.37635040283203,149.13290405273438
122.54206085205078,115.37621307373047,149.1357421875
122.60601043701172,115.36898803710938,149.16732788085938
122.69532775878906,115.38483428955078,149.16513061523438
122.72677612304688,115.4188461303711,149.187744140625
122.81243896484375,115.4508056640625,149.18099975585938
123.08311462402344,115.47183990478516,149.19326782226562
122.99275970458984,115.51371002197266,149.17457580566406
123.08824920654297,115.53425598144531,149.18206787109375
123.28137969970703,115.56378173828125,149.1582489013672
123.49519348144531,115.51053619384766,149.14913940429688
123.31902313232422,115.46708679199219,149.15203857421875
123.37133026123047,115.45442199707031,149.15745544433594
123.61370849609375,115.43359375,149.15570068359375
123.57099914550781,115.43708038330078,149.15887451171875
123.40577697753906,115.4239730834961,149.1501007080078
123.26825714111328,115.44734954833984,149.15811157226562
123.12943267822266,115.51567840576172,149.15208435058594
122.91188049316406,115.5719223022461,149.1443634033203
122.71400451660156,115.5975112915039,149.1426239013672
122.81391143798828,115.62194061279297,149.13848876953125
123.01404571533203,115.64131164550781,149.12908935546875
122.82213592529297,115.63621520996094,149.17947387695312
122.8797836303711,115.57225799560547,149.1673126220703
122.81214904785156,115.557861328125,149.19374084472656
122.83880615234375,115.5902328491211,149.18746948242188
122.765625,115.6394271850586,149.19952392578125
122.84833526611328,115.64847564697266,149.27589416503906
122.98858642578125,115.6363525390625,149.26319885253906
123.1814193725586,115.63215637207031,149.26600646972656
123.39118194580078,115.62129211425781,149.24317932128906
123.48509216308594,115.6231689453125,149.2730255126953
123.4968490600586,115.62747955322266,149.26654052734375
122.80591583251953,115.6929931640625,149.2526092529297
122.74507141113281,115.70133972167969,149.24082946777344
122.62395477294922,115.6911849975586,149.24246215820312
